air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
1,0,3,1,0,1,40171186,house,5000,299000,0,7,1,1,1,alicante,0,1,0,0
0,0,2,1,0,0,33329706,apartment,160,125000,0,4,1,0,1,alicante,1,0,0,0
0,0,1,0,0,1,33690753,rural_property,788,350000,0,4,1,0,1,alicante,0,0,0,1
0,0,1,0,0,0,34258395,apartment,90,63000,0,2,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,37661193,house,200,72000,0,2,0,0,0,alicante,0,1,0,0
1,0,2,0,0,0,37661202,apartment,110,225000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,37661242,apartment,78,35000,0,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,37661261,apartment,105,160000,0,3,1,0,1,alicante,1,0,0,0
0,0,3,0,0,0,38929371,house,160,220000,0,4,0,0,0,alicante,0,1,0,0
1,0,3,1,0,1,39311385,house,4000,200000,1,4,1,1,1,alicante,0,1,0,0
0,0,2,1,0,0,82744666,apartment,120,65000,0,4,1,0,1,alicante,1,0,0,0
0,0,2,0,0,0,82783252,apartment,127,135000,0,3,1,0,0,alicante,1,0,0,0
0,1,2,0,0,0,82973699,apartment,90,130000,0,3,1,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83125709,house,49,59900,0,3,0,0,0,alicante,0,1,0,0
0,0,2,1,0,1,83219915,apartment,113,92000,0,3,0,1,1,alicante,1,0,0,0
0,0,2,0,0,0,83261470,house,220,290000,0,5,0,1,0,alicante,0,1,0,0
0,0,1,0,0,0,83418238,apartment,85,95000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,83544896,house,270,74000,0,4,0,0,1,alicante,0,1,0,0
0,1,2,1,0,0,83638632,apartment,115,86500,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,40038424,house,320,249000,0,5,0,0,1,alicante,0,1,0,0
1,1,2,1,0,0,84272446,apartment,90,75000,0,3,1,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778618,house,3433,150000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778620,apartment,85,32000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778625,house,72,109500,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778626,house,3545,80000,0,3,0,0,0,alicante,0,1,0,0
1,0,1,0,0,0,84778628,house,5112,59000,0,3,0,1,0,alicante,0,1,0,0
0,0,1,0,0,0,84778639,apartment,66,60000,0,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778644,apartment,138,95000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,38858279,house,251,210000,0,5,0,1,0,alicante,0,1,0,0
0,0,3,0,0,0,39903536,house,470,216000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778646,house,93,35000,0,1,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778648,house,232,60000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,37156011,apartment,125,70000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,84778662,apartment,107,65000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778663,apartment,126,140000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,1,0,0,84778664,apartment,125,96000,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778665,apartment,167,135000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778667,house,5200,85000,0,2,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,39200423,house,139,40000,0,3,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,35574150,apartment,87,100000,0,2,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778638,apartment,127,110000,0,4,0,0,0,alicante,1,0,0,0
0,0,2,0,0,0,84778683,apartment,127,95000,0,4,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,84778686,house,105,55000,0,4,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84778687,apartment,99,69000,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,35761375,house,26564,123000,0,4,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,37798250,house,247,150000,0,3,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,37259544,house,2645,50000,0,2,0,0,0,alicante,0,1,0,0
0,0,2,0,0,0,38061415,apartment,95,155000,0,3,0,0,0,alicante,1,0,0,0
