air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,garden,house_id,house_type,m2_real,reduced_mobility,room_num,storage_room,swimming_pool,terrace,city,apartment,house,lux_property,rural_property
0,0,1,0,0,0,83084826,house,87,0,2,0,0,0,alicante,0,1,0,0
0,0,1,0,0,0,84945015,house,335,0,3,0,0,0,sevilla,0,1,0,0
0,0,2,0,0,0,84907221,apartment,105,0,4,0,0,0,madrid,1,0,0,0
0,0,3,0,0,0,84496871,apartment,284,0,3,1,0,1,madrid,1,0,0,0
0,1,3,1,0,1,84437639,house,160,0,2,1,1,1,sevilla,0,1,0,0
0,0,1,0,0,0,31061208,house,180,0,3,0,0,0,alicante,0,1,0,0
0,1,1,1,0,0,83857890,apartment,86,1,3,0,0,0,madrid,1,0,0,0
1,0,2,0,0,0,84538147,apartment,86,0,2,0,0,1,sevilla,1,0,0,0
0,0,1,1,0,0,83797926,apartment,103,0,3,0,0,0,madrid,1,0,0,0
1,0,1,0,0,0,84928863,apartment,80,0,3,0,0,0,madrid,1,0,0,0
0,0,2,0,0,0,84505052,apartment,151,0,3,0,0,0,alicante,1,0,0,0
0,0,1,0,0,0,82771479,apartment,80,0,3,0,0,0,alicante,1,0,0,0
0,0,2,0,0,1,84061386,apartment,132,0,3,0,0,1,valencia,1,0,0,0
1,0,3,0,0,1,84394587,house,120,0,3,1,1,1,girona,0,1,0,0
1,0,2,1,0,0,84321056,apartment,100,0,3,0,1,1,madrid,1,0,0,0
0,0,1,0,0,0,84409590,apartment,71,0,2,0,0,0,sevilla,1,0,0,0
0,0,1,0,0,0,84749217,apartment,51,0,2,0,1,0,girona,1,0,0,0
0,0,1,0,0,0,40221346,house,800,0,2,0,0,0,alicante,0,1,0,0
0,0,2,1,0,1,84268218,apartment,128,0,3,0,1,1,valencia,1,0,0,0
1,1,3,1,0,0,82648678,house,200,0,4,1,0,1,sevilla,0,1,0,0
0,0,1,1,0,0,38826821,apartment,100,0,3,0,0,0,valencia,1,0,0,0
1,0,2,0,0,1,40141066,house,1272,0,3,0,1,0,alicante,0,1,0,0
0,0,3,0,0,0,33363319,apartment,95,0,3,0,0,0,girona,1,0,0,0
0,1,2,1,0,0,84896458,apartment,118,1,3,0,0,0,valencia,1,0,0,0
0,1,3,0,0,0,81162272,apartment,245,0,3,1,0,1,madrid,1,0,0,0
0,0,1,1,0,1,81749869,apartment,54,1,1,0,1,1,girona,1,0,0,0
